feasible
feasible
1.75932	1.90149	-1.43742	3.05277	1.73314
1.75931	1.90149	-1.43741	3.05276	1.73313
1.75931	1.90149	-1.4374	3.05274	1.73313
1.75929	1.90149	-1.43737	3.05271	1.73311
1.75928	1.90149	-1.43733	3.05267	1.7331
1.75926	1.90149	-1.43727	3.05262	1.73308
1.75923	1.90148	-1.43721	3.05256	1.73305
1.7592	1.90148	-1.43713	3.05249	1.73302
1.75916	1.90148	-1.43704	3.0524	1.73298
1.75912	1.90147	-1.43694	3.0523	1.73294
1.75907	1.90147	-1.43682	3.05219	1.73289
1.75902	1.90146	-1.4367	3.05207	1.73284
1.75897	1.90146	-1.43656	3.05194	1.73279
1.7589	1.90145	-1.43641	3.0518	1.73272
1.75884	1.90144	-1.43625	3.05165	1.73266
1.75877	1.90144	-1.43608	3.05148	1.73259
1.75869	1.90143	-1.43589	3.0513	1.73251
1.75861	1.90142	-1.4357	3.05112	1.73243
1.75853	1.90141	-1.43549	3.05092	1.73235
1.75844	1.9014	-1.43527	3.0507	1.73226
1.75834	1.90139	-1.43504	3.05048	1.73216
1.75824	1.90138	-1.43479	3.05025	1.73206
1.75814	1.90137	-1.43454	3.05	1.73196
1.75803	1.90136	-1.43427	3.04975	1.73185
1.75791	1.90135	-1.43399	3.04948	1.73173
1.75779	1.90134	-1.4337	3.0492	1.73161
1.75767	1.90133	-1.4334	3.04891	1.73149
1.75754	1.90131	-1.43308	3.04861	1.73136
1.7574	1.9013	-1.43275	3.04829	1.73122
1.75726	1.90129	-1.43242	3.04797	1.73108
1.75712	1.90127	-1.43207	3.04763	1.73094
1.75697	1.90126	-1.43171	3.04729	1.73079
1.75682	1.90125	-1.43133	3.04693	1.73064
1.75666	1.90123	-1.43095	3.04656	1.73048
1.7565	1.90122	-1.43056	3.04618	1.73032
1.75633	1.9012	-1.43015	3.04578	1.73015
1.75615	1.90119	-1.42973	3.04538	1.72997
1.75597	1.90117	-1.4293	3.04497	1.72979
1.75579	1.90116	-1.42886	3.04454	1.72961
1.7556	1.90114	-1.42841	3.0441	1.72942
1.75541	1.90113	-1.42794	3.04366	1.72923
1.75521	1.90111	-1.42747	3.0432	1.72903
1.75501	1.90109	-1.42698	3.04273	1.72883
1.7548	1.90108	-1.42648	3.04224	1.72862
1.75459	1.90106	-1.42597	3.04175	1.72841
1.75437	1.90105	-1.42545	3.04125	1.72819
1.75415	1.90103	-1.42492	3.04073	1.72797
1.75392	1.90101	-1.42438	3.0402	1.72774
1.75369	1.901	-1.42383	3.03967	1.72751
1.75345	1.90098	-1.42326	3.03912	1.72727
1.75321	1.90097	-1.42269	3.03856	1.72703
1.75296	1.90095	-1.42211	3.03799	1.72678
1.75272	1.90094	-1.42153	3.03743	1.72654
1.75247	1.90092	-1.42095	3.03686	1.72629
1.75223	1.90091	-1.42037	3.0363	1.72605
1.75198	1.90089	-1.41979	3.03574	1.7258
1.75174	1.90088	-1.41921	3.03517	1.72556
1.75149	1.90087	-1.41864	3.03461	1.72531
1.75125	1.90085	-1.41806	3.03405	1.72507
1.751	1.90084	-1.41748	3.03348	1.72482
1.75076	1.90083	-1.41691	3.03292	1.72458
1.75051	1.90082	-1.41634	3.03236	1.72433
1.75026	1.90081	-1.41576	3.03179	1.72408
1.75002	1.9008	-1.41519	3.03123	1.72384
1.74977	1.90079	-1.41462	3.03067	1.72359
1.74953	1.90078	-1.41405	3.03011	1.72335
1.74928	1.90077	-1.41348	3.02955	1.7231
1.74904	1.90076	-1.4129	3.02899	1.72286
1.74879	1.90075	-1.41234	3.02842	1.72261
1.74854	1.90074	-1.41177	3.02786	1.72236
1.7483	1.90073	-1.4112	3.0273	1.72212
1.74805	1.90073	-1.41063	3.02674	1.72187
1.74781	1.90072	-1.41006	3.02618	1.72163
1.74756	1.90071	-1.4095	3.02562	1.72138
1.74731	1.90071	-1.40893	3.02506	1.72113
1.74707	1.9007	-1.40837	3.0245	1.72089
1.74682	1.9007	-1.4078	3.02395	1.72064
1.74658	1.90069	-1.40724	3.02339	1.7204
